A,B,C,D
60,"I have had Tshirts made here a couple of times. This place is amazing - friendly & knowledgeable staff, fast & efficient service, affordable. Love the Tshirts & print quality..Definitely coming back for all my custom tee needs. Highly recommended !",Customize It Hazeldean,C
61,"Dropped off a Rugby shirt for a friend's 50th this weekend..Wanted his last name printed in the back and the number 50..Not only did I have to stand there for 20 minutes and wait to be served, we just went to pick up the shirt after 4 DAYS and were told they couldn't do it (something about the letters wouldn't last on the textured shirt)..Apparently the manager should have called us..No call and now the shirt will have to be given as is..The party is tomorrow..We will not be returning.",Customize It Hazeldean,C
62,"Manager is super friendly, he's made a few shirts for me and I'm always happy with how they turn out, good quality, fast service, very good prices. I will definitely be going back!",Customize It Hazeldean,C
63,I had custom t-shirts made for my dad who is retiring. I showed customizeit what I wanted done and after a day they were ready!.They were better then I could have ever imagined!.Highly recommend.,Customize It Hazeldean,C
64,Great customer service..Rokibul let me know details on cleaning the newly printed shirts..The printing was done very well and ready the next day!,Customize It Hazeldean,C
65,"Wow! I am in love with the quality of these shirts. I not only wear them at work but now I also sleep in them. East or west, Mr. Zia is the best !",Customize It Hazeldean,C
66,"Decent pricing, very quick turnaround, very pleasant to work with..I was happy with the shirts that I ordered.",Customize It Hazeldean,C
67,I had two custom Tees made and I bought one off the rack. All are of pretty good quality and were priced right. Thanks!,Customize It Hazeldean,C
68,Super nice guy customized a design on a dress that has been previously denied because it was 100% polyester but did a fantastic job on it without burning. WILL DEFINITELY COME AGAIN,Customize It Hazeldean,C
69,These guys are great and always do a great job. Will never customize anything online anymore with bigger companies. Support local!,Customize It Hazeldean,C
70,Nice guy working. But need to update the supplys,Customize It Hazeldean,C
71,"I am a long time customer of Entripy..Each year we outfit our team-wear for an annual relay race..Each year, year after year the results are fantastic..WE get hats every year. I have had jackets stitched, shirts with transfer as well as screen printing - all perfect. Can't say enough!",Entripy Custom Clothing,D
72,"Placed an order for 65 items in June. Completion date was July 8 and I chose to pick it up. July 8 came and went with no contact from them, I called and emailed looking for updates. The event I needed the shirts for has now passed but my order is still not ready. July 28 I get an email saying my big box is now ready to be picked up. I asked since it's no longer a rush, can they ship out my items and I will pay shipping. I complete the credit card authorization form to proceed, was told by the finance department I wouldn't need to pay for shipping. (Thank you for that, since it's 3 weeks past when the order should have been ready!) A week later, I still don't have my order so I call again. Was told it would ship later that day and arrive the next day. I get my package excited to finally have them after 6 weeks.My package.Contains 2 shirts! Where are the other 63 items? I call again and was told those 2 shirts were the back ordered items and the rest of the order is ready for pick up! You can imagine my frustration when I tell them it was all supposed to ship. Their response. You will need to pay for shipping!.Here we are over 2 months later still going round and round. I have 2 out of 65 items, they have my $1800 and I've completed all the necessary paperwork to have my items shipped. Fingers crossed this happens soon! I would no longer recommend them especially if you are looking to have your items in a timely fashion. Quite disappointing.",Entripy Custom Clothing,D
73,"As a designer, working with this supplier was easy and straightforward. Their online proofing setup worked well and it was easy to send them a corrected file after the first proof. Delivery was earlier than estimated, print quality is good, shirt specs are clear and easy to understand. Thanks, guys! I ordered a few dozen shirts in two cuts for a staff association.",Entripy Custom Clothing,D
