A,B,C,D
8848,"The T-Shirt Guys were great. They responded quickly, were professional and the shirts turned out perfect. When I sent them my design, they responded with some advice on how to make it look better on a shirt. Even though, it was only a very small order, they still seemed to really care that it turned out right.",tshirtguys,z
8849,"We had a fantastic experience with the T-ShirtGuys. They were able to complete our complicated order despite multiple changes to design, quantities and shipping locations. Robyn was amazing about following up with phone calls and emails throughout the process, and went above and beyond to ensure that the all t-shirts arrived at the events well in advance of our deadline. The t-shirts themselves were beautiful and well received by participants across the country. We were very pleased with both the customer service and the product, and look forward to working with them again next year!",tshirtguys,z
8850,I called the T-Shirt Guys today to inquire about adding a name and number to the back of a hockey jersey. I needed it done today - eeek. They were very helpful on the phone and also in-person when my husband took the jersey in to have the work done. Thanks for the fabulous service!,tshirtguys,z
8851,"I'm highly satisfied with my experience with T-shirt Guys. Recently I've purchased a custom made shirt for my son's birthday and it turned out I've made the best decision contacting their team..The shirt looks awesome. Like, super awesome ôÇëåèª CJ was super helpful and treated me so well throughout the process of choosing the right size, font, colours and so on. I'm very very satisfied and definitely recommend T-ShirtGuys. What a great collaboration of talented artists working with great professionalism. Very happy.",tshirtguys,z
8852,"Wonderful Company to work with, they got back to me so quick and the turn around was within hours. They let me order 1 top which I have found through this process is not very common at the price in which I purchased. Great quality. In the.",tshirtguys,z
8853,"What a wonderful experience I had with the T-Shirt Guys! I ordered a sweatshirt via email, on very short notice. They were extremely professional and contacted me instantly. I received communications from them throughout every stage of production - of my one sweatshirt. (Not even a large order!) When I picked it up, they made me aware of some irregularities and offered to have it remade, with a higher quality sweatshirt so the print would turn out better, at no extra cost to me. Sarah was the person helping me, and she could not have been more friendly, professional, accommodating and wonderful. She was a pleasure to deal with from start to finish. I picked up my remade sweatshirt this morning and it is literally perfect. I should also mention I have used them in the past for large orders for my business and I was equally impressed. It was the owner Chris that helped me at that time. He is absolutely lovely as well. I never think to write reviews, positive or negative. But my experience was so great it deserves to be put in writing! Thank you T-shirt Guys! :)",tshirtguys,z
8854,"Love working with the T-Shirt Guys! Recently purchased our 5th custom shirt order with them and, as usual, the service and end result were outstanding. Ellen was awesome to work with and they got the job done last minute to meet our deadline. They even went out of their way to make convenient pick up for us. We will continue to use T-Shirt Guys - they are amazing!",tshirtguys,z
8855,"The T-Shirt Guys were amazing to deal with. The customer service was first rate - they had our order ready in a few days in order for us to have the shirts for my sons birthday and this just 2 weeks prior to Xmas when I'm sure they were run off there feet. Not only that but the quality of the shirts is excellent.and I got to shop local, which is always a bonus. Will definitely be back for more and will highly recommend them to others!",tshirtguys,z
8856,"I've ordered Tees from the T-shirt Guys twice now, and both times I was incredibly impressed with the customer service, quality, and reliability of the company. My order was always completed by the date promised. When selling the Tees, I've received countless compliments on the quality of the shirts (I ordered the Gildan 100% cotton). The team is very pleasant and accommodating; Steven was especially great to work with! I will definitely be going back again!",tshirtguys,z
8857,"This was absolutely the easiest process with the BEST product outcome! Love Love Love the end product which was a gift. I have tried some other places for custom printing, and have never been this satisfied. Everything was perfect!",tshirtguys,z
8858,"Working with T-shirtGuys was an absolute pleasure. I had a complicated graphic I wanted to print on a shirt and they worked so hard to make sure it happened. They delivered the shirt to my house (free of charge) and it looked fantastic. I was a bit disappointed that the graphic was not printed exactly where I wanted it on the shirt so I sent them an email to let them know and to thank them for their effort. Knowing all businesses are suffering during this time, I was not expecting the following: they printed me a new shirt and delivered it to my house (at least a half hour drive from the store), free of charge. They went above and beyond to make a customer happy!
They were super friendly, very easy to work with and replied very quickly to emails. I was very impressed with the quality of the soft and ultralight cotton shirt. So comfortable!.After this positive experience, I would not go to anyone else besides T-ShirtGuys!.I I look forward to using them in the future and would highly recommend them to anyone and everyone!.It would be a mistake to not use them for your T-shirt needs.",tshirtguys,z
8859,"I came upon T-Shirt Guys from the overwhelming positive reviews and they did not disappoint! From the get-go, when my print order was just an idea, Ellen provided very detailed information to help me decide on how I would like to print my shirt, Besides the great quality of the shirts and the printing, interactions with Ellen made working with T-Shirt Guys a standout experience. She is patient with follow-up questions, and is always friendly and informative. She kept communications open before the printing process so that I was clear on costs and also during production when designers had questions about my image files. When there was an edit needed to translate digital to print, she called with solutions and was also open to dialogue with me and to adopt the option I was most comfortable with. Besides the great quality of the prints, the collaborative experience Ellen facilitated was beyond expectations. Highly recommend printing with T-Shirt Guys!",tshirtguys,z
8860,"I ordered a t-shirt about a week ago and today I finally picked it up. It looks awesome, the colors look great and the quality of the print is really satisfying. The service was fast and the price was acceptable. Staff is very nice at the shop. I will recommend T-Shirt Guys to all my friends! Thank you :)",tshirtguys,z
8861,"Just had a small order of 2 shirts for a Christmas present and when I went to pick them up the shirts look great but unfortunately one was printed on the wrong type of shirt. ( I had specifically asked, and paid, for Bella & Canvas and it was substituted with American Apparel). I immediately emailed them and got a fairly short response that they use the two brands interchangeably and I would be refund the $2 difference. I realize this is a small problem but I specifically asked for and wanted the Bella and Canvas shirt and not thrilled that they would use a cheaper ( by $2 but still) shirt that I would have paid more for had I not noticed the swap. The printing is beautiful and the service was quick and friendly but I wont be able to recommend this business. Maybe attention to detail could be something to work on in the new year.",tshirtguys,z
8862,"Fantastic quality, fantastic service!.They drove a shirt all the way across Toronto for a Mother's Day rush delivery, free of charge, and the shirt was sensational :).I wouldn't expect this once the pandemic is over, but they were really amazing, and I will 100% work with them again..The T-shirt Guys made it very easy to support local businesses..Thanks!",tshirtguys,z
8863,"T-ShirtGuys is awesome!.I did two separate, small quantity orders with them in 2018 and both turned out excellent!.I think their pricing is quite reasonable for quality, professionally made custom t-shirts..I ordered small quantities both times (1 or 2 t-shirts only) and it was under $40 per shirt, which I think is very reasonable considering it's custom work..Ellen handled my orders both times and was extremely communicative, helpful and friendly..And the most recent time, I needed rush service (for which I paid $10) and they turned around my custom order within 48 hours so I could send it out in time for Christmas..All around excellent service and quality products here..Highly recommend!.Thanks T-ShirtGuys!",tshirtguys,z
8864,"Did an order of 36 pieces and couldn't have been happier! The team accommodated my needs and I was very specific in my request and they were able to meet our expectations. Quality on the garments were better if not the best we've seen compared to the other places in Toronto. We will be doing our printing here from now on and only have great things to say about T-ShirtGuys. The team is really helpful, spent a lot of time answering my questions and giving me great recommendations. Customer service has been superb ëåèª",tshirtguys,z
8865,"We've worked with TSG for the past 8 months printing for our independent Canadian apparel line. Their attention to our business needs and dedication to quality work is unmatched. They also happen to be a sheer pleasure to work with. They're experts in production and we often lean on them for advice in realizing our creative vision. We honestly feel that they care about our business and our customers, a quality hard to come by in other production partners we tried working with. Support this business! They're the real deal.",tshirtguys,z
8866,"Over the past couple of weeks, I have had the pleasure of working with T-shirt Guys on multipole rush orders. Every order was completed on time and sometimes much earlier than requested. The quality of the printing is impeccable..Ellen and the t-shirt family are fabulous to work with.",tshirtguys,z
8867,"T-shirt guys has the best customer service I have ever seen! We were really intrigued by the printing process and they showed us how it was done.

Really glad to support this local business, they really accommodate and put in the extra mile. Our sublimation print turned out great thanks to Steven ôå We will be back for more :)",tshirtguys,z
8868,"The T-shirt guys are AMAZING to work with. We had a a large, last minute order that they managed to complete ahead of schedule at a very affordable rate. They have been so helpful and exceeded our expectations. I strongly recommend them and will be working with them in the future!",tshirtguys,z
8869,"If you're looking for the best possible people to get your job done right, look no further. T-Shirt Guys are the best company out there for all your apparel needs, this is the 3rd time I've come to them with a project and the results speak for themselves. Huge supporters of front-line workers! I could not ask for a better result. 11/10 would recommend!",tshirtguys,z
8870,"Great customer service, Ellen was the one in charge of my order. The staff there is really friendly! I went there to get some t-shirts printed, and the t-shirts were supposed to be ready in 5 days, but it only ended up taking 2 days for the t-shirts to be ready for pick up. The t-shirts turned out amazing ‚ò∫",tshirtguys,z
8871,"T-Shirt Guys were great! I had sent them a email with a custom shirt I had in mind. I had also explained in my email that I had gotten t-shirts made before from other companies and really didn't enjoy them based on quality. They were able to help me pick a colour for the shirt where the photo I wanted would show up great! I really appreciated this.

They were very fast to respond easy to get a hold of!",tshirtguys,z
8872,"I had a great experience with T Shirt guys. They helped me print 15 shirts for a party. The party guests loved the quality of the shirts and the T Shirt guys staff were all great and lovely to work with. Would recommend!
Shout out to: Ellen, Robyn and the nice guy who always greeted me at the door",tshirtguys,z
8873,The customer service is fantastic. I ordered 2 custom printed sweaters and they turned out nicely. As someone who is in service. This service was exceptional,tshirtguys,z
8874,"T-ShirtGuys were nothing short of amazing. The pricing was very fair, turnaround time on a tight timeline was all I could have asked for and they kept me up to date with my order status from start to finish. Personal shout out to Ellen, thank you for walking me through the process and for your kindness and professionalism. Do not go anywhere else for your T-shirt needs, best in Toronto",tshirtguys,z
8875,"The sign of a good business is when every single person you chat with is genuinely helpful and easy to talk to. On top of that, the quality is awesome and their response is fast. I was initially going to use another company to have shirts printed but their customer service won me over and put my mind at ease. Highly recommended and will definitely keep going to them for future needs!",tshirtguys,z
8876,"I have used Tshirt Guys several times over the years and have always had a great experience. They have printed on hats, t-shirts, hoodies and technical performance jackets - and have had great results each time. I was particularly impressed with my most recent experience there as I was a bit pressed for time and they came up with a fantastic logo and had a dozen jackets printed for me well under the deadline that I needed them for. Always friendly customer service too!",tshirtguys,z
8877,"Very very happy with the Tshrt Guys (and Ladies)!

We had a job to do, in a huge rush, with some special requirements. Even though we'd never done business with them before, they (and specifically, Ellen) was super responsive, helpful, and accommodating. I was in a beggars can't be choosers situation but when I stepped foot into their shop I knew I was in good hands. Really impressed with their diverse capabilities and options (got lots of ideas for next time, and Ellen helped advise me on how to do this better and cheaper next time), and will definitely be using them in the future.",tshirtguys,z
8878,"Great place!.I had a rush order for a single shirt..No design or really any sense of how I wanted it to look except not wanting vinyl letters..Everyone was great in helping me figure out my options, and Ellen was particularly accommodating of some after-the-last-minute changes I wanted..Will definitely be back!",tshirtguys,z
8879,"I really enjoy getting things printed here. The staff are really friendly and positive. The whole atmosphere in the store is very homey and I really like that. I love their quality output too. Every time that I've gotten something printed by these guys, it turns out exactly how I envisioned it to look. They'll constantly be in contact with you to make sure that you get exactly what you want and I really appreciate their patience with me since I'm so specific. Overall, I'm glad to have found them and will 100% be going back with my next project!",tshirtguys,z
8880,"Simply the best!.My Husband is very finickity and had only the vaguest concept of what he wanted..I'm not sure how, but the Staff worked through the process in detail to suit him and gave us the simply best tees ever at a great price - And such a great logo!.Thanks Chris et al!",tshirtguys,z
8881,"This place is fantastic . I needed to print a shirt for a gag gift, and Ellen was very helpful. She even had the designer improve the design to make it better quality, totally went above and beyond. Of course I left it to the last minute but they did a rush order for me and the shirt was ready in 1 business day. So impressed!",tshirtguys,z
8882,"I had a mishap with another company, and called t shirt guys for emergency help. I needed an order within 24 hours, and had the best experience I could have hoped for. Ellen was so kind and patient over the phone, took my order exactly as I needed, and had everything ready in a few hours with no issues. The apparel came out perfectly. So so happy and thankful for this. Made an otherwise embarrassing situation into a fantastic one. Thank you so much!",tshirtguys,z
8883,I had to get uniforms made with a very tight turn around time. The staff were very patient with the many questions I had and always gave very helpful and informative answers promptly. They were able to meet my short deadline and my uniforms turned out perfectly! I highly recommend the T-shirt Guys for quality as well as great service.,tshirtguys,z
8884,"My experience With T-Shirt Guy was quit amazing! Their service was top quality. They assist me with my beautiful ATTRACT design Clock Logo T-shirt, if you go unto their IG page you'll see all their amazing work. I can't the staff enough, working with Robyn was the best. Thank you again T-shirtguy",tshirtguys,z
8885,"Most places I visited gave me a few minutes at best when I walked through their doors, but the T-shirt Guys gave me all the time I needed to discuss my needs. And it didn't stop there. Their support continued through every step of the process. The staff is great at developing a personal relationship with the client. Plus, I couldn't be happier with the print job they did on the T-shirts I ordered.",tshirtguys,z
8886,"Just placed a big order (300 shirts, nearly as many sweaters). Ellen was patient with us as we figured out what would be best for our needs (design, colours, materials). Wrangling that many people wasn't easy but Ellen was patient, helpful and even anticipated our needs by contacting suppliers ahead of time to make sure our different order choices would be possible. This review could never clearly show how helpful she was!",tshirtguys,z
8887,From the moment I began communicating with The T-Shirt Guys I knew I had made the right decision. I worked with Katharine who guided me through the whole process and now we have the perfect t-shirts for our film festival. I will definitely work with The T-Shirt Guys again and I highly recommend them for personal or professional designs.,tshirtguys,z
8888,"They did a great job with the shirts. My team liked the final product. The only advice that I have is that they should provide more specifications about the kind of image/logo that they need to be print in the shirts.
They also expedite my order and I highly appreciate this service. Cheers",tshirtguys,z
8889,"I had an amazing experience with T-ShirtGuys and more specifically Ellen. The crewnecks I ordered turned out just how I wanted them and everybody was happy with them. The order came quickly after I ordered them and the two way communication was quick and helpful, Ellen was always there to answer my questions. Would definitely order from here again.",tshirtguys,z
8890,"They are really great, they designed the t-shirts just the way I expected to be and they did a really great job. Even though I needed the shirts urgently, they were able to make the shirts within 24 hrs. Also, their customer service was really great.",tshirtguys,z
8891,"Not only are the T-Shirt guys talented, they're also a really fun bunch of people. Always love the results I get from this uber-talented team. I got the shirts I ordered in 2 days, and just in time for Christmas - thank you Steven! Oh man, what time is it at Kathy's right now? Highly recommend this place.",tshirtguys,z
8892,Steven is very helpful and patient to provide me very clear instruction & friendly reminders to order the T-shirts for our company. We are all very happy with the products. The production is efficient and great quality. Delivery is on time. Thank you again for your help!,tshirtguys,z
8893,"I experienced such great customer service with these guys. The first day I walked in to figure out the details of how to get my custom shirts made for my company, the gentleman out front helped me out for 3 hours answering all my questions and telling me things to be aware of. I was in there that long because I wanted to understand and process all the details and I had a lot of questions. Not once did I feel rushed to make my decisions. I also needed the shirts done in a timely fashion, and they definitely pulled through. They are knowledgeable, passionate, and very honest. I would totally recommend these guys if you're needing your t-shirts done.",tshirtguys,z
8894,"I was looking to have an odd shirt printed in a shirt time, I contacted the T-shirt Guys, and after providing some simple text, their creative wheels spun and produced EXACTLY what I was hoping for! Great, great job by these guys.I wouldn't hesitate to recommend and/or return. I can't wait to gift the shirt this weekend! Thanks for all the awesome work and the quick turnaround time!",tshirtguys,z
8895,"Fast, friendly, professional service from the moment I walked in with questions to when I picked up my order a few days later. Shirts came out exactly as I wanted them and the team stayed in touch through the process to manage expectations on a tricky tone-on-tone print. Good price breaks on higher quantities. Highly recommended ‚Äì I'll be a repeat customer.",tshirtguys,z
8896,"I've been using the T-Shirt Guys for a few years now and they never disappoint. The quality is great and so is the turn-around time.
Ellen, you're the best! Always so helpful and friendly. I'll be back for more!",tshirtguys,z
8897,"They did an excellent job on a short notice. All is professionally done: they way they present themselves, their customer service, the flow of the work; the final product, the quality of shirt material, and print. The only thing to improve would be if the T-Shirt Guys would offered free express delivery (I had to pick it up). If it is on a short notice, you will also have a rush fee.",tshirtguys,z
8898,"Chris and his team were so accommodating to me. Even during everything that is going on in the world, they still delivered incredible service and did an amazing job with my order. I am so happy to have found a company that makes it so easy + accommodating. Highly recommend.",tshirtguys,z
8899,"T-Shirt Guys were super fun, relaxed and professional to deal with. Lovely sales staff helped get everything set up effortlessly, and made some really thoughtful suggestions to achieve the best result possible. I had a kids sweater and tshirt made and they came out looking perfect with just a few days turnaround. I'm going back!",tshirtguys,z
8900,"Very happy with the service T-ShirtGuys provided. After being let down by another supplier, I was surprised and delighted that T-ShirtGuys were able to fill my larger order quickly, with great quality and at a very reasonable price.

I wouldn't hesitate to recommend them to anyone looking to get some t-shirts printed.",tshirtguys,z
8901,"As a student-run course union supporting over 500 students within the Creative Industries program at Ryerson University, there was a lot of pressure to deliver professional and affordable merchandise for our 2019-2020 school year. Lauren was extremely helpful in ensuring all of our questions were answered and concerns addressed. Emails were always responded to in a timely manner, and communication always clear and direct. We also appreciated Lauren's thoughtful recommendations and suggestions along the way!

From screen printed t-shirts, crewnecks and tote bags to embroidered caps and beanies, T-Shirt Guys exceeded all expectations and truly brought our design to life. The design came out perfect on all garments, and Lauren and the team at T-Shirt Guys were friendly and accommodating throughout the entire process. Thanks to Lauren and T-Shirt Guys all of our students wear their merchandise with pride!",tshirtguys,z
8902,T-shirt guys has been doing a great job printing high quality t-shirts with a quick turnaround for our new brewery. They have been very responsive and easy to work with. Much appreciated!,tshirtguys,z
8903,"Just picked up my bulk order from them. Very compensating and very patient workers. I really respect their work and hope this business continues to help young entrepreneurs like myself succeed in the business world. Anyone who needs custom hoodies and t shirts, go to these guys, they are amazing they do not disappoint!",tshirtguys,z
8904,"Awesome experience! Ellen helped me minimize the cost of my order, made slight modifications to my design for me, had the order finished ahead of schedule, and the shirts look great. Will definitely be using them again in the future.",tshirtguys,z
8905,Walked in and was greeted by Steven. He was super helpful and friendly with making sure everything about my order would go smoothly. He answered questions enthusiastically and gave his opinion in terms of sizing for the designs which was super helpful. I would definitely come back if I have other t-shirt designs to have printed!,tshirtguys,z
8906,"All I can say is Clint and the team are magicians (or used to be)! Great customer service from start to end, exceptional quality, delivered (rush order) and great end result! I'll certainly be going back again.

Keep it up lads!",tshirtguys,z
8907,I've been using the T-Shirt Guys for years! Every order has exceeded my expectations. Always very satisfied with the quality and turnaround time of my custom shirts and the fantastic customer service is a plus.,tshirtguys,z
8908,"I use T-Shirt Guys quite often for work, and they have always been incredible to me. They are incredibly easy to work with, return emails quickly and every order has always been on time. I can't recommend them enough!",tshirtguys,z
8909,"Bought a shirt for my fianc√© and he loved it. They did a great job getting the design just right and the shirt fabric and colour was great and super comfortable. They also completed my shirt much faster than I expected which was awesome because it was a time sensitive gift!
Thank you!",tshirtguys,z
8910,"Super profesional staff.and excellent customer service. My order was ready and perfectly on time.

Thanks Ellen for your time and advice.

My son really loved his KISS customized t-shirt!

Cheers

Edgar Maldonado",tshirtguys,z
8911,"The T-Shirt Guys came through for me on a last minute request. Not only did they get it all done in time, but they were super flexible and accommodating to my requests and the t-shirts came out exactly as I hoped!

A special thank you to Lauren was such a great help.

I highly highly recommend.",tshirtguys,z
8912,Working with T-Shirt Guys was such an easy and great process. Katherine was wonderful when it came to answering my questions and ensuring that we received the product that we envisioned. Will definitely work the team again!,tshirtguys,z
8913,"It was a pleasure having the opportunity to visit T-shirt guys on Logan Street. I was greeted with open arms and very welcomed by their frontline representatives. I was able to find quality selection and work with a knowledgable staff especially Joanna who took my order over the telephone and.promptly responded with my order. Joanna and their team has gone above and beyond to ensure quality of service, knowledge in the printing industry and working with fair cost and quality control. I look forward to my next visit at T-shirt guys.",tshirtguys,z
8914,"The T-shirt guys definitely deliver. Great customer service Joanna was great, attentive and professional i will be doing business with her again. The Designer's did an amazing job on the custom shirt i wanted.",tshirtguys,z
8915,The store manager and her team did an amazing job helping us get a custom t-shirt! It was our first time doing anything like this and they answered all of our questions quickly and with patience. Highly recommended!,tshirtguys,z
8916,"Very last minute I called these guys up to have bachelorette tanks made. They made the process so easy, quick and inexpensive. The tank and print quality exceeded expectations and they were ahead of schedule..I will 100% use them again and highly recommend to anyone!",tshirtguys,z
8917,"Very happy with the service I received from the T-Shirt Guys (Ellen in particular)! I made a last minute request, and they were able to fulfill my order quickly and the shirts turned out beautifully.",tshirtguys,z
8918,These 'guys' were able to accomodate my quick turn-around needs..Excellent quality of t-shirts and.printing..The clients were thrilled with their t-shirts. I will definitely use them again. Thank you to the team at T-Shirt Guys.,tshirtguys,z
8919,"Always a great experience. Chris and his staff have come up with some super designs and paired them with quality products that my clients love. Not just 'logo-wear', these are cool tees that people will want to wear all the time. Highly recommended.",tshirtguys,z
8920,We had a wonderful experience with The T-Shirt Guys. Casey was easy to reach and answered all my questions promptly. The whole process was quick and easy! We love the finish product and look forward to placing another order.,tshirtguys,z
8921,"This is the THIRD time I've come to T-ShirtGuys for my t-shirts and tank tops. What's amazing is that on top of the fact that they do such good work and they always try their best to give you the best deal out there, they still manage to blow me away with the level of customer service they provide me. I've been with them for over 2 years now and I probably see them once a year and yet, I still truly feel like a valued customer, not just a random walking in from the streets. I tell all my friends and clients about them and they've all been very pleased with their projects as well. I would never think about getting my stuff printed anywhere else!",tshirtguys,z
8922,"Ordering through T-Shirt Guys was a top notch experience. From a quick turnaround, to wonderful customer service and a product that was above and beyond expectations, I couldn't recommend this company enough! 10/10!",tshirtguys,z
8923,I've had a positive experience working with T-Shirt Guys. This is my second order with them and both times I had no issue getting what I needed. I own a small business and love being able to support another local small business. I would certainly recommend this company to friends.,tshirtguys,z
8924,"If you are looking for a fast & good service as well as high quality results, don't think twice: T-Shirt Guys is your choice! From a single shirt for a birthday present to the promotional products of your next campaign, they will be there for anything you need.
And if you are even lucky to deal with Ellen you will go home with a smile :)",tshirtguys,z
8925,"I have worked with a lot of T-Shirt companies both nationally and internationally and I can confidently say I've never received such amazing customer service (I worked with a Customer Service Rep named Tara).and such an easy process from start to finish.

I highly recommend The T-Shirt Guys the next time you need customized designs or printing!",tshirtguys,z
8926,"We order a t-shirt for our boss last day, I called the t-shirt guys it was short notice n the pull through to have it ready for us. The t-shirt really did impress our boss she loved it and they did an amazing job Thabk you T-shirt guys I will.definitely recommend you guys in any near future orders I have I will be using you thank you for amazing job.",tshirtguys,z
8927,"I've had the pleasure of working with the T-SHIRT Guys a number of times and each time for 200+ item orders of multiple sizes. Each year I create and design a personal thank-you gift for my cast and crew. This is a good number of people and each year more are added as this has become a sort of tradition over our 13 seasons of Murdoch Mysteries. The team at TSG are very good at sorting out your art, setting up, adjusting and prototyping. They have lots of options and the service is always friendly (even if I'm a noob and give them impossible timelines)
Thanks for another successful run of shirts again this year Katherine.

Yannick Bisson",tshirtguys,z
8928,Staff is helpful even though they could use more help at times to deal with all customers. Got a damaged shirt in my order. They gave a credit for the damaged shirt and made a replacement shirt free of charge. Quick response via email from employees. Good experience overall.,tshirtguys,z
8929,"T-Shirt Guys have an amazing design staff, knowledgeable sales team, and top-notch production crew who are able to accomplish whatever projects you put in front of them. One of my favourite things about TSG is that they are always looking for new products and methods to offer to their clients, and there are many more exciting things to come! For all of your printing needs, T-Shirt Guys is my recommendation hands down.",tshirtguys,z
8930,"This team will work with you to help you obtain the best possible results! I'm so happy with our finished shirts, I would (and do) recommend them to anyone searching for a high quality clothing printer.
Give them a chance, their selection and print quality can't be beat!",tshirtguys,z
8931,"T-ShirtGuys have helped us for numerous events over the last 4 years (small orders to large) - we always trust them to get our shirts ready on time so no one is disappointed. The job is done well, on time and priced right.",tshirtguys,z
8932,"Amazing, attentive customer service. Came here to get t-shirts printed for a memorial for a friend who passed away and they made sure the design and outcome came out exactly to our liking. The owner Chris went out of his way to get the best results and was more than compassionate about the situation. Would come here again.",tshirtguys,z
8933,"Great overall knowledge and end product. Our T-shirts look great. I would rate them 5 out of 5, however we have not had our T-shirts long enough to determine how long the ink will last. Stay tuned for a possible future update!",tshirtguys,z
8934,"Walked in and received immediate and helpful service. They recommended sizes, styles and provided quick turnaround on images drafts. This is the 4th time we've used T-Shirt Guys.we will definitely use them again.",tshirtguys,z
8935,"My service provider was Ellen and she was fantastic. Good communicator, met timelines, Good listener. I am so pleased with my order and will recommend the TShirt Guys to others.
Darlene",tshirtguys,z
8936,"The purchasing of our orders of t-shirts and aprons was a simple and enjoyable experience due to the efficient and cooperative staff at The T-Shirt Guys..The order was ready quickly, the quality of their items is tops, and the pricing is reasonable..Thank you Guys !.See you next time.",tshirtguys,z
8937,"Leave a deposit and pay the rest when you get your shirts. They inverted my logo and it's taking longer than they told me it would take to fix. I trust that these guys are really good at what they do, and mistakes happen, but just be cautious. Safe bet would be to leave the deposit down and pay the rest when you get your correct shirts. I'm sure I will shop there again once it's all done and made right.",tshirtguys,z
8938,"Not only was I in a rush to have a couple tshirts made, but I also wanted a specific printing style. Plus, I didn't have time to make it into the store so this was all done over the phone. I went into the store a bit nervous because I couldn't pick exactly what material I wanted, but was pleasantly surprised with my order. The TShirt Guys did an amazing jod at providing me with as much detail as possible about my order before hand and even sent me draft mock ups of the placement of my text and image that was going on the TShirt. I would recommend them to any one looking to purchase custom apparel and I will be going back for future orders. Thanks again!",tshirtguys,z
8939,"Poor customer service. Staff did not help clients in order (I arrived before someone else and he was helped before me). And then I placed an order and paid and found out the next day that they didn't have the colours I ordered: ""The stock was fine when you placed the order -- sometimes we run into an issue where the stock depletes in within the hour. That is out of our control as our supplier is a major Canadian garment provider. Our apologies -- but it does happen, all we can do is try and switch colours to an available option."" I only ordered 2 toddler t-shirts and would expect they would put these aside when I paid. Or at least provided some kind of discount since they were not able to provide what I paid for.",tshirtguys,z
8940,Our basketball players and coaches love the championship sweatshirts we got! Ellen was great to work with and answered our questions quickly and thoroughly. We will be back to order more - when we win again!,tshirtguys,z
8941,"Fast and efficient..Got my shirts done in less than 4 days!

Only complaint is that they won't keep my credit card on file so I can order from them faster!

Great job guys, see you soon!",tshirtguys,z
8942,"My late mother-in-law had a wonderful shortbread recipe and baked it every holiday. To honour her memory I had decided to have permanent copies of the recipe printed. With the help of the T-ShirtGuys, particularly Katherine and Steven, I was able to create the best Christmas gifts ever! I worked with Katherine just under 2 weeks. My original 12-year-old, typed copy was formatted in a new layout; three different font sizes and font styles were chosen, and 23 lines of text were perfectly spaced over the 18‚Äùx26‚Äù area of a cotton tea towel. I brought in 5 tea towels of varied quality and patterns to be tested and used for printing. One minor adjustment was made in the first printing and all remaining results were successful. In the end, 17 tea towels were printed with ‚ÄúHelen's Christmas Shortbread‚Äù recipe. I don't imagine this was a huge order for the T-ShirtGuys but it was a very special order for me - near and dear to my heart. I feel that Katherine and Steven put as much care, effort and thought into my small printing needs as they would have with any bigger project. The people who received these early Christmas gifts were quite touched - as one family member said, ‚ÄúMarking the first Christmas without Mum was so right and enshrining one of her loving annual traditions in a pretty tea towel . ahhh.‚Äù Thank you T-ShirtGuys. Thank you Katherine and Steven. It was the most gift-giving fun for me, ever.‚Äù.Jean Simon",tshirtguys,z
8943,Had my pet's picture printed on a pillow‚Äî I love it! íïêæ.,tshirtguys,z
8944,We have used T-Shirt Guys for several projects and are always happy with the customer service and the quality of the product! It is especially nice that you can do small orders at a reasonable price.,tshirtguys,z
8945,"From the get go my experience was a great one :).From the very first call until the pick up, they made sure that everything was up to what we, as the customer, wanted. Everyone on the Team loves their New Baseball Shirts =D
Would love to work with The T-ShirtGuys again",tshirtguys,z
8946,I ordered some branded baseball T-shirts for work and they look awesome! Service was great and timely and I love supporting local businesses. Highly recommend and would order from them again. Great price too.,tshirtguys,z
8947,I absolutely LOVE T-Shirt Guys! I've ordered from them several times now over the last couple years and I couldn't be more happy with the quality of the product and the service. Can't wait to do business again! Thanks!,tshirtguys,z
8948,"It was effortless.easy.and pleasant! My first foray in 'branding' my business onto T-Shirts and Julian made it fun, simple and affordable! They have an outstanding selection and I received the help I needed from the entire team to make it all come together beautifully! Thanks T-SHirt Guys! :)",tshirtguys,z
8949,Had 3 shirts printed out about a week ago and the customer service was great. They are also really quick to respond to emails and when they make a mistake they are quick to fix it. Thanks to Casey for helping me along with my order.,tshirtguys,z
8950,I was very happy with the communication and end result of the T-shirts for my business. The quality is amazing and it was done super fast! I am sure I will use them again.,tshirtguys,z
8951,"I have used the TShirt Guys a number of times and each time their service has been impeccable. They are friendly, helpful and were able to manage some fast turnaround times for me. Very easy to deal with, I would recommend to anyone!",tshirtguys,z
8952,"I called just about every shirt printing company in the GTA and nobody could print the shirts I wanted. The only ones who could do it were the T-Shirt Guys. Great customer service combined with quality work equals an overall great experience. For me, there's no other place I'd go to get this type of work done.",tshirtguys,z
8953,"Ellen and the staff at T-Shirt Guys were very friendly, helpful and accommodating to the many requests + inquiries that I had for our staff t-shirts and hoodies. Their responses to e-mails and telephone calls were prompt. Thanks for all of your help! As Arnold would say, 'I'll be back.'",tshirtguys,z
